service_id,date,exception_type
Weekend-2,20250414,1
Weekend-2,20250415,1
Weekend-2,20250416,1
Weekend-2,20250417,1
Weekend-2,20250418,1
Weekend-2,20250421,1
Weekend-2,20250422,1
Weekend-2,20250423,1
Weekend-2,20250424,1
Weekend-2,20250425,1
Weekend-2,20250602,1
WkExFri-1,20250414,2
WkExFri-1,20250415,2
WkExFri-1,20250416,2
WkExFri-1,20250417,2
WkExFri-1,20250421,2
WkExFri-1,20250422,2
WkExFri-1,20250423,2
WkExFri-1,20250424,2
WkExFri-1,20250602,2
WkExFri-2,20250331,2
WkExFri-2,20250403,2
WkExFri-2,20250407,2
WkExFri-2,20250414,2
WkExFri-2,20250415,2
WkExFri-2,20250416,2
WkExFri-2,20250417,2
WkExFri-2,20250421,2
WkExFri-2,20250422,2
WkExFri-2,20250423,2
WkExFri-2,20250424,2
WkExFri-2,20250602,2
WkExFri-3,20250421,2
WkExFri-3,20250602,2
WkExWed-1,20250328,2
WkExWed-1,20250404,2
WkExWed-1,20250411,2
WkExWed-1,20250418,2
WkExWed-1,20250421,2
WkExWed-1,20250425,2
WkExWed-1,20250502,2
WkExWed-1,20250509,2
WkExWed-1,20250516,2
WkExWed-1,20250523,2
WkExWed-1,20250530,2
WkExWed-1,20250602,2
WkExWed-1,20250606,2
WkExWed-1,20250613,2
